Key,Value
ma_terminal_backup_cmd_desc,"Создаёт резервную копию текущих подписок на моды, порядка и состояния включения"
ma_terminal_backup_cmd_name_arg_desc,"Имя этой резервной копии"
ma_terminal_backup_completed_log,"Резервное копирование завершено. Снимок сохранён по пути: {0}"
ma_terminal_backup_failed_log,"Ошибка резервного копирования: {0}"
ma_terminal_backup_name_required_error,"Необходимо указать имя резервной копии."
ma_terminal_desc,"Mod Ark — резервное копирование и восстановление конфигурации модов"
ma_terminal_restore_cmd_desc,"Восстанавливает подписки, порядок и состояния включения из JSON-файла резервной копии"
ma_terminal_restore_completed_log,"Восстановление завершено. Обработано подписок: {0}"
ma_terminal_restore_failed_log,"Ошибка восстановления: {0}"
ma_terminal_restore_folder_countdown_log,"Папка для восстановления откроется через 5 секунд. Скопируйте в неё файл резервной копии сразу после появления."
ma_terminal_restore_invalid_file_error,"Файл резервной копии пуст или недействителен."
ma_terminal_restore_missing_fields_error,"В файле резервной копии отсутствуют обязательные поля."
ma_terminal_restore_need_yes_error,"Восстановление перезапишет текущую конфигурацию. Запустите снова с параметром --yes для продолжения. Изменения не были внесены."
ma_terminal_restore_read_file_error,"Не удалось прочитать или десериализовать файл резервной копии."
ma_terminal_restore_shutdown_warning_log,"Восстановление завершено. Игра автоматически закроется через 10 секунд; при желании вы можете закрыть её раньше вручную."
ma_terminal_restore_steam_not_initialized_error,"Steam не инициализирован, невозможно восстановить подписки."
ma_terminal_restore_subscribe_success_log,"Подписка оформлена на {0} ({1})."
ma_terminal_restore_timeout_error,"В течение 60 секунд в папке восстановления не найден файл резервной копии."
ma_terminal_restore_unsubscribe_success_log,"Подписка на элемент {0} отменена."
ma_terminal_restore_yes_opt_desc,"Разрешить перезапись текущей конфигурации при восстановлении"
